,x,y,z
0,-16.70924,68.009659,7.994206
1,-7.628133,68.009659,17.686089
2,-7.445113,68.009659,3.415041
3,-28.076458,62.509659,6.001571
4,-25.202274,62.509659,16.700949
5,-25.16811,62.509659,-4.526842
6,-14.005321,62.509659,-8.014234
7,-12.776411,62.509659,27.409548
8,-3.418761,62.509659,-12.73105
9,-1.819473,62.509659,27.658981
10,-0.807605,62.509659,9.33467
11,0.217593,62.509659,-1.231946
12,-38.961617,56.509659,1.742897
13,-36.4216,56.509659,14.6458
14,-33.536835,56.509659,-6.706738
15,-27.388687,56.509659,27.111109
16,-23.234955,56.509659,-8.160913
17,-15.929064,56.509659,33.026772
18,-12.084476,56.509659,-12.368985
19,-5.505953,56.509659,34.078102
20,-2.282183,56.509659,-14.88623
21,-0.585825,56.509659,-1.330102
22,-0.357113,56.509659,11.325187
23,-0.094272,56.509659,25.546251
24,-46.366562,48.509659,7.271906
25,-43.368721,48.509659,-2.308579
26,-42.438866,48.509659,20.816391
27,-34.322704,48.509659,28.31353
28,-32.74408,48.509659,-8.757392
29,-20.942671,48.509659,-10.550756
30,-20.385586,48.509659,37.77515
31,-11.2872,48.509659,-15.626745
32,-5.703813,48.509659,43.011154
33,-1.255839,48.509659,-14.639147
34,-0.920849,48.509659,14.854255
35,-0.862032,48.509659,-0.022938
36,0.425373,48.509659,28.173901
37,-50.700382,40.509659,5.338767
38,-47.583611,40.509659,-4.236084
39,-46.468658,40.509659,21.295992
40,-40.840378,40.509659,30.47374
41,-38.879299,40.509659,-11.199733
42,-31.211308,40.509659,36.861633
43,-25.739843,40.509659,-12.679211
44,-21.654448,40.509659,44.927147
45,-14.896692,40.509659,-16.740192
46,-12.811872,40.509659,49.931381
47,-4.339721,40.509659,-18.355633
48,-1.953077,40.509659,49.833508
49,-0.682956,40.509659,-6.444672
50,-0.427241,40.509659,39.735126
51,-0.368567,40.509659,16.00572
52,0.733129,40.509659,4.496123
53,0.886006,40.509659,29.466841
54,-53.849758,31.509659,8.209647
55,-51.795177,31.509659,-1.915584
56,-49.042168,31.509659,22.941017
57,-45.300823,31.509659,-10.314694
58,-44.365295,31.509659,32.470196
59,-37.530453,31.509659,41.43618
60,-33.11692,31.509659,-12.899273
61,-22.962894,31.509659,47.091282
62,-21.969503,31.509659,-16.070442
